targetId,bid
162799002114172,0.38
162840322926371,0.22
163895557762781,0.38
167253414683119,0.72
167552145107352,0.38
168791306445173,0.83
169792172035023,0.38
170581544355226,0.38
170700036499029,0.72
171575383002129,0.38
175894161860639,0.38
176217175549220,0.38
177762678928985,0.38
177766070989346,0.38
179495703175198,0.38
180449186925051,0.38
184172052520800,0.38
185410751324453,0.38
185590972278298,0.72
185720371532070,0.83
186258033136828,0.38
189608052808345,0.38
190025450014928,0.38
195222079654868,0.72
197013918006499,0.22
197436363789557,0.38
197863914642429,0.83
197970758669423,0.38
198265771568715,0.83
199266678164625,0.38
199531778518540,0.38
199746299881127,0.38
202758001325097,0.38
203568958074711,0.38
203911880575209,0.38
205486645176401,0.38
207629705792459,0.63
215639148699607,0.22
215698088365790,0.38
219109925239186,0.38
219317102915335,0.22
219657008269429,0.38
219970443554910,0.83
220297495662078,0.38
220463804121512,0.38
222940469317188,0.38
223965524991557,0.38
224965939454690,0.38
230417255728778,0.38
236212591959420,0.83
206858923719880,0.16
4962487441009,0.16
224703586193387,0.16
165687169613663,0.16
255403300756104,0.16
147537064935102,0.16
157643599550588,0.16
108276532732090,0.16
20633298574444,0.16
69182813448957,0.16
116785388337276,0.16
257326667501257,0.16
106620962673790,0.16
197233610773268,0.16
73287265963609,0.16
163212823228589,0.16
224622502853641,0.38
24369816843953,0.38
30178106502756,0.16
234084551344223,0.38
3612694435378,0.38
199705334860348,0.38
260309418950606,0.38
44693897296762,0.38
1932023181885,0.38
40681260827229,0.22
240604117699140,0.38
220087474918337,0.38
86715156359809,0.38
189968559598786,0.16
65071095777982,0.22
182834530225344,0.22
31303684962423,0.72
174377775218245,0.38
119914798223870,0.38
37596629701693,0.72
50885971062964,0.38
39616705237886,0.72
64847136549924,0.72
78152150206389,0.83
62516485220699,0.83
210320596068,0.83
220190996363604,0.22
61165131127560,0.38
138864534077120,0.38
137271729656763,0.22
39498772480629,0.72
21683839566193,0.22
234121996405479,0.72
280835291849739,0.72
133151016531246,0.22
166783352200210,0.83
18691870455491,0.83
116133848705220,0.16
141000488240935,0.22
244681484279574,0.72
57100008064344,0.16
190933439192530,0.16
118037460257270,0.22
4491780275444,0.16
92950803295711,0.83
219703560084837,0.16
271726506571790,0.22
4272059409792,0.16
56806510341394,0.16
36429262471356,0.16
82184737158281,0.16
118489526678747,0.16
59373467323496,0.16
2371049173909,0.16
203938770878260,0.16
88831301427134,0.16
83242516967196,0.16
276505846827215,0.16
146932176801294,0.16
219150904473582,0.16
205099220919188,0.16
226880308402993,0.12
217147876504609,PAUSED
